root@machine-shoot--local--e2e-default-local-69865-8xpbs:/# kubectl -n kube-system get events
LAST SEEN   TYPE      REASON                         OBJECT                                                  MESSAGE
8m24s       Normal    Scheduled                      pod/apiserver-proxy-5dc2w                               Successfully assigned kube-system/apiserver-proxy-5dc2w to machine-shoot--local--e2e-default-local3-56c78-525jc
8m20s       Normal    Pulling                        pod/apiserver-proxy-5dc2w                               Pulling image "eu.gcr.io/gardener-project/gardener/apiserver-proxy:v0.11.0"
8m16s       Normal    Pulled                         pod/apiserver-proxy-5dc2w                               Successfully pulled image "eu.gcr.io/gardener-project/gardener/apiserver-proxy:v0.11.0" in 4.085331978s
7m27s       Normal    Created                        pod/apiserver-proxy-5dc2w                               Created container setup
7m26s       Normal    Started                        pod/apiserver-proxy-5dc2w                               Started container setup
8m11s       Normal    Pulled                         pod/apiserver-proxy-5dc2w                               Container image "eu.gcr.io/gardener-project/gardener/apiserver-proxy:v0.11.0" already present on machine
8m10s       Normal    Created                        pod/apiserver-proxy-5dc2w                               Created container sidecar
8m9s        Normal    Started                        pod/apiserver-proxy-5dc2w                               Started container sidecar
8m9s        Normal    Pulling                        pod/apiserver-proxy-5dc2w                               Pulling image "envoyproxy/envoy-distroless:v1.24.1"
7m54s       Normal    Pulled                         pod/apiserver-proxy-5dc2w                               Successfully pulled image "envoyproxy/envoy-distroless:v1.24.1" in 14.994292437s
7m53s       Normal    Created                        pod/apiserver-proxy-5dc2w                               Created container proxy
7m52s       Normal    Started                        pod/apiserver-proxy-5dc2w                               Started container proxy
7m52s       Normal    Killing                        pod/apiserver-proxy-5dc2w                               Stopping container sidecar
7m52s       Normal    Killing                        pod/apiserver-proxy-5dc2w                               Stopping container proxy
7m50s       Warning   Unhealthy                      pod/apiserver-proxy-5dc2w                               Readiness probe failed: Get "http://10.1.131.67:16910/ready": dial tcp 10.1.131.67:16910: connect: connection refused
7m49s       Warning   Unhealthy                      pod/apiserver-proxy-5dc2w                               Liveness probe failed: Get "http://10.1.131.67:16910/ready": dial tcp 10.1.131.67:16910: connect: connection refused
7m48s       Normal    SandboxChanged                 pod/apiserver-proxy-5dc2w                               Pod sandbox changed, it will be killed and re-created.
7m27s       Normal    Pulled                         pod/apiserver-proxy-5dc2w                               Container image "eu.gcr.io/gardener-project/gardener/apiserver-proxy:v0.11.0" already present on machine
7m46s       Warning   Failed                         pod/apiserver-proxy-5dc2w                               Error: failed to create containerd task: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: error setting cgroup config for procHooks process: openat2 /sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod8b1caa68_c805_4067_b94a_790a62e3a997.slice/cri-containerd-setup.scope/cgroup.controllers: no such file or directory: unknown
7m39s       Warning   BackOff                        pod/apiserver-proxy-5dc2w                               Back-off restarting failed container
3m17s       Warning   BackOff                        pod/apiserver-proxy-5dc2w                               Back-off restarting failed container
8m24s       Normal    Scheduled                      pod/apiserver-proxy-5tltn                               Successfully assigned kube-system/apiserver-proxy-5tltn to machine-shoot--local--e2e-default-local-69865-8xpbs
8m21s       Normal    Pulling                        pod/apiserver-proxy-5tltn                               Pulling image "eu.gcr.io/gardener-project/gardener/apiserver-proxy:v0.11.0"
8m18s       Normal    Pulled                         pod/apiserver-proxy-5tltn                               Successfully pulled image "eu.gcr.io/gardener-project/gardener/apiserver-proxy:v0.11.0" in 2.920669128s
7m48s       Normal    Created                        pod/apiserver-proxy-5tltn                               Created container setup
8m17s       Normal    Started                        pod/apiserver-proxy-5tltn                               Started container setup
8m12s       Normal    Pulled                         pod/apiserver-proxy-5tltn                               Container image "eu.gcr.io/gardener-project/gardener/apiserver-proxy:v0.11.0" already present on machine
8m12s       Normal    Created                        pod/apiserver-proxy-5tltn                               Created container sidecar
8m11s       Normal    Started                        pod/apiserver-proxy-5tltn                               Started container sidecar
8m11s       Normal    Pulling                        pod/apiserver-proxy-5tltn                               Pulling image "envoyproxy/envoy-distroless:v1.24.1"
7m53s       Normal    Pulled                         pod/apiserver-proxy-5tltn                               Successfully pulled image "envoyproxy/envoy-distroless:v1.24.1" in 18.520174759s
7m52s       Normal    Created                        pod/apiserver-proxy-5tltn                               Created container proxy
7m52s       Normal    Started                        pod/apiserver-proxy-5tltn                               Started container proxy
7m51s       Normal    Killing                        pod/apiserver-proxy-5tltn                               Stopping container sidecar
7m51s       Normal    Killing                        pod/apiserver-proxy-5tltn                               Stopping container proxy
