TIME     PID     COMM             AGE(s)  FILE
07:40:57 166377  containerd-shim  0.00    #1254
07:40:57 170480  exe              0.00    runc.NAkAwO
07:40:57 170185  kubectl          0.03    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 170185  kubectl          0.03    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 170185  kubectl          0.01    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 170185  kubectl          0.01    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 170194  kubectl          0.00    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 170194  kubectl          0.00    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 161670  containerd       0.00    #1256
07:40:57 170194  kubectl          0.02    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 170194  kubectl          0.02    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 170194  kubectl          0.02    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 170194  kubectl          0.02    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 166448  containerd-shim  0.00    #1259
07:40:57 170556  exe              0.00    runc.Ahr2tQ
07:40:57 170522  kubectl          0.31    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 170522  kubectl          0.31    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:57 149320  systemd-journal  0.03    8:821331
07:40:57 162123  containerd       0.15    ref
07:40:57 162123  containerd       0.14    total
07:40:57 162123  containerd       0.17    startedat
07:40:57 170656  containerd-shim  0.00    #125c
07:40:57 162123  containerd       0.16    updatedat
07:40:57 170704  exe              0.00    runc.0YPAe8
07:40:58 161670  containerd       0.02    #125e
07:40:58 162123  containerd       0.00    #1260
07:40:58 170760  exe              0.01    runc.CFVF3G
07:40:58 4035    containerd-shim  0.09    runc-process1317993115
07:40:58 162123  containerd       0.08    ref
07:40:58 162123  containerd       0.06    total
07:40:58 162123  containerd       0.08    startedat
07:40:58 162123  containerd       0.07    updatedat
07:40:58 161670  containerd       0.00    #1262
07:40:58 170522  kubectl          0.51    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:58 170522  kubectl          0.51    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:58 170522  kubectl          0.02    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:58 170522  kubectl          0.02    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:58 142994  systemd          0.29    cri-containerd-29bcf3ee02dc1d1bc
07:40:58 142994  systemd          0.05    50-DevicePolicy.conf
07:40:58 142994  systemd          0.05    50-DeviceAllow.conf
07:40:58 142994  systemd          0.05    50-CPUWeight.conf
07:40:58 170522  kubectl          0.02    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:58 170522  kubectl          0.02    83bbf4bbbeba30fc8c69e9450d5a665c
07:40:58 162123  containerd       0.00    #1264
07:40:58 161897  containerd       0.16    ref
07:40:58 161897  containerd       0.11    total
07:40:58 161897  containerd       0.16    startedat
07:40:58 161897  containerd       0.12    updatedat
07:40:58 4035    containerd-shim  0.16    b69cbcd2d0c7628ade0b99ef6d7b5f4f
